order_week,category_id,order_count,unique_orders,total_quantity,total_gross_sales,total_net_sales,total_profit,avg_profit_ratio
2014-12-29,45,66,60,66,26398.680726,23682.7106636,3875.770016139,0.158
2014-12-29,11,1,1,4,139.9600067,114.7699966,20.07999992,0.18
2014-12-29,13,5,5,14,499.86000062000005,423.60000603000003,124.3400011,0.22
2014-12-29,17,105,81,306,18356.94054074,16569.45024536,2270.650001732,0.104
2014-12-29,24,81,70,223,11150.0,10071.25,436.20000574200003,0.056
2014-12-29,26,4,4,12,549.9700012000001,509.67000579999996,118.03999429,0.09
2014-12-29,29,47,44,148,5878.56009214,5310.49004323,464.400018648,0.076
2014-12-29,35,8,8,26,634.740001601,558.819995803,28.989997862000003,0.166
2014-12-29,36,5,5,17,323.82999801,278.02000046,99.31000089599999,0.342
2014-12-29,37,15,15,41,1671.5900192,1518.7299881499998,328.62999679499995,0.194
2014-12-29,40,6,6,19,474.8099975,386.58999632,81.69000101499999,0.195
2014-12-29,41,5,5,20,379.79998965000004,367.22000698,-23.080001826000004,-0.156
2014-12-29,43,64,55,64,19198.720704,17145.2503815,2758.469946849,0.162
2014-12-29,44,1,1,2,59.97999954,59.38000107,21.37999916,0.36
2014-12-29,46,75,67,222,11095.559867920001,9998.23989896,1704.050025636,0.156
2014-12-29,48,55,47,55,10999.4503025,9898.4503025,1372.36001194,0.131
2014-12-29,18,77,70,77,10009.230423500001,8965.329932839999,617.440005268,0.071
2014-12-29,9,62,55,166,16178.399909920001,14453.39984691,2265.309987987,0.16
2014-12-29,7,7,7,19,442.0,386.86000061,127.90999794999999,0.334
2014-12-29,5,2,2,8,199.91999812,156.18999861999998,25.259999751000002,0.125
2014-12-29,3,1,1,2,69.98000336,55.97999954,6.71999979,0.12
2015-01-05,43,95,86,95,28498.101045,25702.150634999998,1986.3100252039999,0.082
2015-01-05,48,106,96,106,21198.940583,19022.940583,1354.9600111159998,0.067
2015-01-05,46,124,105,391,19542.1798205,17551.189838180002,539.760014972,0.038
2015-01-05,45,128,117,128,51197.441408,46067.5112624,5246.650069392999,0.116
2015-01-05,44,4,4,10,299.89999774,287.60000234,87.47000217,0.298
2015-01-05,18,147,127,147,19108.5308085,17176.72987308,2170.289984301,0.131
2015-01-05,3,1,1,1,59.99000168,53.99000168,16.89999962,0.31
2015-01-05,5,3,3,7,174.92999644,148.93999864,52.59999943,0.413
2015-01-05,6,3,3,4,179.96000672,166.90999985,22.3200016,-0.003
2015-01-05,7,6,6,16,370.0,355.72999954,113.880000121,0.29
2015-01-05,9,90,85,254,24627.56996862,22423.58984156,4365.779942278,0.193
2015-01-05,41,8,8,27,473.7299938,440.75000382999997,-7.480001213999994,-0.194
2015-01-05,12,2,2,7,384.7900085,373.24000549999994,77.499998094,0.15
2015-01-05,13,9,9,30,1026.6999910299999,893.86000632,215.589995381,0.279
2015-01-05,17,176,144,529,31734.71092244,28383.54038647,3839.9800330870003,0.128
2015-01-05,40,14,14,30,749.69999883,668.10000418,96.019999024,0.101
2015-01-05,24,122,111,378,18900.0,16978.0,1163.130012137,0.098
2015-01-05,26,11,11,41,1374.8999938000002,1266.43999858,239.84000395200002,0.129
2015-01-05,29,66,61,206,8158.02009084,7442.7200178,626.499994926,0.103
2015-01-05,32,4,4,8,159.92000007000001,147.91999626,44.619998687999995,0.322
2015-01-05,33,6,6,13,845.0,811.20000463,179.96000386,0.212
2015-01-05,35,4,4,14,409.85999864999997,381.87000845,11.039998049999994,-0.05
2015-01-05,36,15,15,43,743.56999395,660.94000244,166.080001416,0.265
2015-01-05,37,18,18,46,1911.54002752,1774.65000338,307.169996383,0.173
2015-01-05,11,1,1,2,69.98000336,57.38000107,26.96999931,0.47
2015-01-12,17,186,148,560,33594.40095212,30164.34040137,3235.060030132,0.104
2015-01-12,6,7,7,24,1079.7600210800001,1000.57001113,86.899999613,0.077
2015-01-12,13,8,8,26,885.73999201,796.85999681,90.59999871,0.166
2015-01-12,12,2,2,4,219.88000492,173.15000152,21.050000193000002,0.16
2015-01-12,11,2,2,3,104.97000503999999,90.62000275,-3.63000012,0.03
2015-01-12,36,14,14,41,701.58999441,631.91999435,190.169997847,0.274
2015-01-12,9,84,77,255,24727.55995932,22179.34986855,2773.1299401670003,0.111
2015-01-12,7,6,6,18,441.0,392.61999893,-74.489999769,-0.068
2015-01-12,5,1,1,4,99.95999908,82.97000122,26.95999908,0.33
2015-01-12,3,4,4,15,674.8500137000001,603.1200104,-113.240000585,-0.22
2015-01-12,40,14,14,43,1074.56999389,970.58999823,28.089997576000002,0.071
2015-01-12,37,18,18,55,2435.45002728,2299.73002242,653.570002049,0.274
2015-01-12,24,164,135,488,24400.0,21946.75,2302.719979638,0.103
2015-01-12,48,102,92,102,20398.980561,18305.980561,2358.129996823,0.127
2015-01-12,46,138,117,451,22540.97973662,20331.809784600002,2212.5100047299998,0.108
2015-01-12,45,111,97,111,44397.781221,39913.8510754,5205.679972914,0.138
