category_id,model,fold_id,train_end,test_start,test_end,train_size,mape,smape,mae,rmse
45,naive,0,2016-12-19,2016-12-26,2017-01-16,104,7.0347218465674235,7.64576964833836,9.5,14.798648586948742
45,naive,1,2017-01-16,2017-01-23,2017-02-13,108,8.350922340338222,8.695916859468921,10.75,12.913171570144957
45,naive,2,2017-02-13,2017-02-20,2017-03-13,112,6.32969492144684,6.004656353711818,6.75,8.73212459828649
45,naive,3,2017-03-13,2017-03-20,2017-04-10,116,6.37800819252432,6.437730137360339,7.5,8.689073598491383
45,naive,4,2017-04-10,2017-04-17,2017-05-08,120,4.937119423918992,5.173505012140328,6.25,8.52936105461599
45,naive,5,2017-05-08,2017-05-15,2017-06-05,124,4.3289045036577924,4.438986434449515,5.25,6.98212002188447
45,naive,6,2017-06-05,2017-06-12,2017-07-03,128,13.220714873646354,14.222637937692117,17.25,17.95132307101624
45,naive,7,2017-07-03,2017-07-10,2017-07-31,132,8.651044047760875,8.231182185729736,9.75,10.897247358851684
45,seasonal_naive,0,2016-12-19,2016-12-26,2017-01-16,104,13.886599844537711,14.130923492857361,17.5,19.72308292331602
45,seasonal_naive,1,2017-01-16,2017-01-23,2017-02-13,108,13.598830628299543,13.640364415134664,17.0,17.507141400011598
45,seasonal_naive,2,2017-02-13,2017-02-20,2017-03-13,112,12.90749451954695,11.495478014380886,13.75,18.83480820183736
45,seasonal_naive,3,2017-03-13,2017-03-20,2017-04-10,116,12.462738484828249,11.90679723099638,14.5,14.64581851587681
45,seasonal_naive,4,2017-04-10,2017-04-17,2017-05-08,120,12.185900167475786,12.946906875008441,14.75,16.393596310755
45,seasonal_naive,5,2017-05-08,2017-05-15,2017-06-05,124,15.81938640943575,16.58455349789948,19.0,23.388031127053
45,seasonal_naive,6,2017-06-05,2017-06-12,2017-07-03,128,8.350239614661561,8.322634959808763,10.75,11.543396380615196
45,seasonal_naive,7,2017-07-03,2017-07-10,2017-07-31,132,9.250606625777625,9.333488573977595,11.0,12.041594578792296
45,prophet,0,2016-12-19,2016-12-26,2017-01-16,104,11.604972776866832,11.998024929783549,14.888038091437945,17.77723776240666
45,prophet,1,2017-01-16,2017-01-23,2017-02-13,108,10.80433980005208,11.04798740609351,13.578568410841555,14.678521702465547
45,prophet,2,2017-02-13,2017-02-20,2017-03-13,112,12.840205985139356,11.682727603850807,13.803471961876777,16.898768707917927
45,prophet,3,2017-03-13,2017-03-20,2017-04-10,116,6.378009154860396,6.045001339297887,7.0453979883689115,9.107775367416494
45,prophet,4,2017-04-10,2017-04-17,2017-05-08,120,4.685833340121805,4.891515791312154,5.913488824458817,7.978138077355093
45,prophet,5,2017-05-08,2017-05-15,2017-06-05,124,7.530930069289374,7.422539157868088,8.802442661698286,9.714294919856696
45,prophet,6,2017-06-05,2017-06-12,2017-07-03,128,1.6169842850203398,1.6320037942549417,2.1458082140874417,2.9607373794847374
45,prophet,7,2017-07-03,2017-07-10,2017-07-31,132,6.841639271726159,6.9542239379344934,8.166946609240409,10.194131107812513
45,sarima,0,2016-12-19,2016-12-26,2017-01-16,104,13.883992932886741,14.577130120006194,17.80470412066028,21.7052972832829
45,sarima,1,2017-01-16,2017-01-23,2017-02-13,108,12.69310627244331,14.173581948800928,16.89312688134957,22.05228982047601
45,sarima,2,2017-02-13,2017-02-20,2017-03-13,112,11.493552894694966,10.521180027942515,12.36104974395451,15.455663715914483
45,sarima,3,2017-03-13,2017-03-20,2017-04-10,116,9.852369452791773,9.805476627805337,11.64116669127641,11.953739716518871
45,sarima,4,2017-04-10,2017-04-17,2017-05-08,120,10.130410879831361,10.954044586516343,12.60897503343691,15.53236231412134
45,sarima,5,2017-05-08,2017-05-15,2017-06-05,124,11.931192825312008,11.720325892725148,14.075622464775488,16.878004738466544
45,sarima,6,2017-06-05,2017-06-12,2017-07-03,128,3.3017034521356585,3.378121107008574,4.345231159626056,5.352700833904122
45,sarima,7,2017-07-03,2017-07-10,2017-07-31,132,6.38492303748826,6.541724984301539,7.666490177603194,8.994904130223253
17,naive,0,2016-12-19,2016-12-26,2017-01-16,104,5.244005692375257,5.487476076789913,29.0,43.121920179880675
17,naive,1,2017-01-16,2017-01-23,2017-02-13,108,15.28191983629094,14.039118913718102,76.0,81.29883147991735
17,naive,2,2017-02-13,2017-02-20,2017-03-13,112,5.965358859823245,5.865620835263133,32.25,33.715723334966434
