week,forecast_units,lower_80,upper_80,category_id
2017-10-09,102.0,83.0,123.0,45
2017-10-16,112.0,93.0,132.0,45
2017-10-23,125.0,107.0,142.0,45
2017-10-30,133.0,116.0,152.0,45
2017-10-09,415.0,349.0,475.0,17
2017-10-16,457.0,390.0,526.0,17
2017-10-23,502.0,435.0,565.0,17
2017-10-30,517.0,447.0,583.0,17
2017-10-09,86.0,72.0,100.0,43
2017-10-16,96.0,83.0,110.0,43
2017-10-23,105.0,91.0,118.0,43
2017-10-30,106.0,93.0,119.0,43
2017-10-09,223.0,180.0,267.0,9
2017-10-16,244.0,201.0,288.0,9
2017-10-23,262.0,217.0,306.0,9
2017-10-30,264.0,217.0,309.0,9
2017-10-09,396.0,330.0,466.0,24
2017-10-16,417.0,348.0,483.0,24
2017-10-23,436.0,369.0,506.0,24
2017-10-30,431.0,362.0,502.0,24
